"İllerde yaşam endeksi gösterge değerleri, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indicator values of well-being index for provinces, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Konut
Housing",,,,"Çalışma hayatı
Work life",,,,,"Gelir ve servet
Income and wealth",,,,"Sağlık
Health",,,,,,"Eğitim
Education",,,,,,"Çevre
Environment",,,,,,"Güvenlik
Safety",,,,,"Sivil katılım
Civic engagement",,,,"Altyapı hizmetlerine erişim
Access to infrastructure services",,,,,"Sosyal yaşam
Social life",,,,,"Yaşam memnuniyeti
Life satisfaction"
"İl
Province",,"Fert başına düşen oda sayısı   
Number of rooms per person  ","Konutun içinde tuvalet mevcudiyeti oranı
(%)
Toilet presence percentage in dwellings 
(%)","Konutun kalitesinde problem yaşayanların oranı 
(%) 
Percentage of households having problems with quality of dwellings
(%)",,"İstihdam oranı 
(%) Employment rate 
(%)","İşsizlik oranı 
(%) Unemployment rate 
(%)","Ortalama günlük kazanç 
(TL) Average daily earnings 
(TRY)","İşinden memnuniyet oranı 
(%) 
Job satisfaction rate 
(%)",,"Kişi başına düşen tasarruf mevduatı
(TL)  
Savings deposit per capita 
(TRY)","Orta ve üstü gelir grubundaki hanelerin oranı
(%)   
Percentage of households in middle or higher income groups
(%)  ","Temel ihtiyaçlarını karşılayamadığını beyan eden hanelerin oranı
(%)   
Percentage of households declaring to fail on meeting basic needs
(%)  ",,"Bebek ölüm hızı 
(‰) 
Infant mortality rate 
(‰)","Doğuşta beklenen yaşam süresi 
(Yıl) 
Life expectancy at birth 
(Years)","Hekim başına düşen müracaat sayısı 
Number of applications per doctor ","Sağlığından memnuniyet oranı 
(%) 
Satisfication rate with health status 
(%)","Kamunun sağlık hizmetlerinden memnuniyet oranı 
(%) 
Satisfication rate with public health services 
(%)",,"Okul öncesi eğitimde (3-5 yaş) net okullaşma oranı  
(%) 
Net schooling ratio of pre-primary education between the ages of 3 and 5 
(%)","TEOG sistemi yerleştirmeye esas puan ortalaması
(puan)  
Average point of placement basic scores of the system for Transition to Secondary Education from Basic Education
(points)","YGS puan ortalaması 
(puan)
Average points of the Transition to Higher Education Examination
(points) ","Fakülte veya yüksekokul mezunlarının oranı 
(%) 
Percentage of higher education graduates 
(%)","Kamunun eğitim hizmetlerinden memnuniyet oranı 
(%) 
Satisfaction rate with public education services 
(%)",,"PM10 istasyon değerleri ortalaması (hava kirliliği) 
(µg/m³) 
Average of PM10 values of the stations (air pollution) 
(µg/m³)","Km2'ye düşen orman alanı 
(%) 
Forest area per km2 
(%)","Atık hizmeti verilen nüfusun oranı 
(%) 
Percentage of population receiving waste services 
(%)","Sokaktan gelen gürültü problemi yaşayanların oranı 
(%) 
Percentage of households having noise problems from the streets 
(%)","Belediyenin temizlik hizmetlerinden memnuniyet oranı 
(%) 
Satisfaction rate with municipal cleaning services 
(%)",,"Cinayet oranı 
(bir milyon kişide) 
Murder rate 
(per  million people)","Ölümlü ve yaralanmalı trafik kazası sayısı 
(bin kişide) 
Number of traffic accidents involving death or injury (per thousand people)","Gece yalnız yürürken kendini güvende hissedenlerin oranı 
(%) 
Percentage of people feeling safe when walking alone at night 
(%)","Kamunun asayiş hizmetlerinden memnuniyet oranı 
(%) 
Satisfication rate with public safety services 
(%)",,"Mahalli idareler seçimlerine katılım oranı 
(%) 
Voter turnout at local administrations 
(%)","Siyasi partilere üyelik oranı 
(%) 
Rate of  membership to political parties 
(%)","Sendika/dernek faaliyetleri ile ilgili olanların oranı 
(%) 
Percentage of persons interested in union/association activities
(%)",,"İnternet abone sayısı (yüz kişide)
Number of internet subscriptions (per hundred persons) ","Kanalizasyon ve şebeke suyuna erişim oranı
(%)  
Access rate of population to sewerage and pipe system
(%) ","Havalimanına erişim oranı
Access rate to airport","Belediyenin toplu taşıma hizmetlerinden memnuniyet oranı
(%)  
Satisfaction rate with municipal public transport services
(%) ",,"Sinema ve tiyatro seyirci sayısı (yüz kişide) 
Number of cinema and theatre audience (per hundred persons)","Bin kişi başına düşen alışveriş merkezi alanı
(m2) 
Shopping mall area per thousand people
(m2)","Sosyal ilişkilerinden memnuniyet oranı 
(%) 
Satisfication rate with social relations 
(%)","Sosyal hayatından memnuniyet oranı 
(%) 
Satisfication rate with social life 
(%)",,"Mutluluk düzeyi 
(%) 
Level of happiness 
(%)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adana,,"1,2","86,3","22,7",,"43,3","13,2","59,1","73,3",,5 428,"34,1","59,8",,"13,2","77,4",5 323,"68,5","72,5",,"28,4","281,9","200,5","14,2","63,9",,"44,8","42,1","97,9","25,5","59,6",,"42,9","2,3","53,1","76,6",,"88,1","20,6","7,6",,"9,7","91,5","7449,8","56,3",,"73,1","82,4","81,9","46,7",,"53,0"
Adıyaman,,"0,9","77,1","41,1",,"39,2","9,1","53,2","64,3",,1 543,"16,3","74,8",,"12,1","79,5",7 437,"69,1","74,6",,"30,0","289,3","197,1","12,3","69,0",,"71,0","25,2","65,9","19,4","36,7",,"18,4","1,8","73,6","82,8",,"87,2","22,3","7,0",,"3,7","67,7","74,3","36,7",,"2,9","0,0","81,8","56,9",,"65,0"
Afyonkarahisar,,"1,4","90,2","12,9",,"51,1","5,6","53,9","85,3",,4 062,"29,7","44,1",,"9,6","77,0",5 727,"80,1","87,3",,"31,8","295,5","195,5","10,8","88,9",,"81,0","17,0","73,1","6,5","77,6",,"29,7","2,8","87,2","91,2",,"92,0","20,0","5,7",,"7,0","71,9","12,0","74,2",,"34,9","119,9","94,0","70,3",,"76,4"
Ağrı,,"0,8","64,1","40,5",,"53,2","6,8","56,1","64,0",, 842,"22,6","73,5",,"14,4","75,6",6 720,"66,2","63,3",,"25,4","233,7","189,9","8,6","65,3",,"47,0","0,5","56,2","12,9","35,9",,"29,1","1,3","57,9","76,9",,"77,1","18,6","6,4",,"2,2","50,4","167,0","48,5",,"6,3","0,0","90,0","46,2",,"60,1"
Amasya,,"1,4","95,0","16,9",,"47,4","6,6","53,8","88,7",,3 121,"34,8","43,8",,"15,4","77,8",8 067,"74,2","86,5",,"47,1","317,4","195,5","13,4","87,5",,"29,0","39,2","70,0","12,8","74,4",,"21,7","3,1","67,5","92,3",,"91,2","22,1","5,4",,"8,6","69,0","21,7","73,4",,"19,3","0,0","92,8","62,7",,"66,0"
Ankara,,"1,6","98,7","15,8",,"44,5","10,2","70,1","78,9",,11 462,"58,9","42,4",,"7,0","79,4",2 763,"71,8","68,1",,"35,3","317,6","187,1","22,7","58,0",,"63,4","15,5","99,4","27,0","73,9",,"19,2","2,3","51,1","71,6",,"90,9","18,8","8,2",,"17,7","97,5","2750,6","62,2",,"125,9","284,0","81,1","51,3",,"56,2"
Antalya,,"1,4","96,7","14,9",,"52,9","7,9","59,5","78,6",,8 353,"45,5","48,7",,"8,9","79,2",4 392,"68,5","68,7",,"41,7","319,1","204,3","16,1","62,2",,"53,0","55,8","98,7","28,7","73,0",,"27,9","3,2","52,5","76,0",,"89,8","17,5","6,8",,"14,3","89,0","3091,6","54,2",,"85,8","148,1","78,2","50,5",,"49,8"
Artvin,,"1,6","94,2","19,7",,"47,1","7,1","66,5","84,9",,3 737,"37,7","40,0",,"7,8","79,3",6 301,"80,1","80,1",,"43,5","306,2","188,1","14,3","83,2",,"21,0","54,2","60,8","15,2","74,8",,"17,7","2,2","81,6","94,9",,"87,7","25,2","12,3",,"9,9","56,8","0,0","65,3",,"34,4","32,4","94,2","62,1",,"62,7"
